iter	Passed	Remaining
0	152	152515
1	154	77172
2	156	51955
3	158	39456
4	160	31887
5	161	26810
6	163	23226
7	165	20515
8	167	18408
9	168	16718
10	170	15333
11	172	14190
12	174	13238
13	176	12402
14	177	11674
15	179	11034
16	181	10474
17	182	9978
18	184	9530
19	186	9129
20	187	8718
21	188	8401
22	190	8096
23	192	7818
24	193	7562
25	195	7329
26	197	7112
27	199	6911
28	200	6725
29	202	6545
30	204	6397
31	206	6242
32	208	6098
33	209	5963
34	211	5837
35	213	5716
36	215	5599
37	216	5489
38	218	5387
39	220	5293
40	222	5200
41	224	5119
42	226	5031
43	227	4951
44	229	4870
45	231	4797
46	232	4716
47	234	4655
48	236	4592
49	238	4537
50	240	4475
51	242	4414
52	243	4357
53	245	4304
54	247	4249
55	249	4202
56	250	4151
57	252	4101
58	254	4052
59	255	4003
60	257	3957
61	258	3913
62	260	3870
63	261	3829
64	263	3790
65	265	3757
66	267	3719
67	268	3682
68	270	3645
69	271	3600
70	272	3567
71	274	3535
72	275	3502
73	277	3470
74	278	3439
75	280	3413
76	282	3386
77	283	3356
78	285	3331
79	287	3302
80	288	3276
81	290	3250
82	291	3223
83	293	3198
84	294	3175
85	296	3155
86	298	3135
87	300	3110
88	301	3088
89	303	3065
90	304	3044
91	306	3022
92	307	3002
93	309	2981
94	310	2962
95	312	2944
96	314	2923
97	315	2908
98	317	2889
99	319	2873
100	320	2856
101	322	2839
102	324	2824
103	325	2806
104	327	2795
105	329	2778
106	331	2762
107	332	2746
108	334	2731
109	335	2715
110	337	2700
111	338	2687
112	340	2672
113	342	2658
114	344	2649
115	345	2634
116	347	2622
117	348	2607
118	350	2596
119	352	2583
120	353	2570
121	355	2558
122	357	2547
123	359	2536
124	360	2524
125	362	2512
126	363	2500
127	365	2488
128	366	2477
129	368	2465
130	370	2454
131	371	2445
132	373	2433
133	375	2425
134	377	2415
135	378	2404
136	380	2395
137	381	2384
138	383	2375
139	385	2365
140	386	2356
141	388	2346
142	390	2339
143	391	2328
144	393	2319
145	395	2311
146	396	2303
147	398	2292
148	400	2284
149	401	2275
150	403	2266
151	404	2257
152	406	2249
153	408	2242
154	409	2234
155	411	2225
156	413	2217
157	414	2209
158	416	2201
159	417	2194
160	419	2185
161	420	2177
162	422	2171
163	424	2164
164	425	2155
165	427	2148
166	429	2140
167	431	2134
168	432	2127
169	434	2119
170	435	2111
171	437	2107
172	439	2101
173	440	2093
174	442	2086
175	444	2078
176	445	2073
177	447	2066
178	448	2059
179	450	2052
180	452	2045
181	454	2040
182	455	2033
183	457	2027
184	458	2020
185	460	2014
186	461	2007
187	463	2001
188	464	1994
189	466	1988
190	467	1982
191	469	1977
192	471	1971
193	473	1965
194	474	1959
195	476	1952
196	477	1946
197	479	1941
